Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
HCV1_21	KL12	K12	Typeable		99.98%	100.00%	0 bp	23 / 23 (100.00%)	KL12_01_galF,99.66%,100.00%;KL12_02_cpsACP,100.00%,100.00%;KL12_03_wzi,99.79%,100.00%;KL12_04_wza,100.00%,100.00%;KL12_05_wzb,100.00%,100.00%;KL12_06_wzc,100.00%,100.00%;KL12_07_wbaP,100.00%,100.00%;KL12_08_wcaA,100.00%,100.00%;KL12_09_wclN,100.00%,100.00%;KL12_10_wclM,100.00%,100.00%;KL12_11,100.00%,100.00%;KL12_12_wzy,100.00%,100.00%;KL12_13_wckF,100.00%,100.00%;KL12_14_wckG,100.00%,100.00%;KL12_15_wckH,100.00%,100.00%;KL12_16_wzx,100.00%,100.00%;KL12_17_glf,100.00%,100.00%;KL12_18_gnd,100.00%,100.00%;KL12_19_rmlB,100.00%,100.00%;KL12_20_rmlA,100.00%,100.00%;KL12_21_rmlD,100.00%,100.00%;KL12_22_rmlC,100.00%,100.00%;KL12_23_ugd,100.00%,100.00%		0		4 / 23 (17.39%)	KL12_19_rmlB,99.72%,100.00%;KL12_20_rmlA,100.00%,100.00%;KL12_21_rmlD,100.00%,100.00%;KL12_22_rmlC,99.45%,99.46%	1	KL150_19_gmd,98.80%,100.00%		
HCV1_24	KL63	K63	Typeable	?2	99.80%	99.84%	n/a	19 / 20 (95.00%)	KL63_01_galF,100.00%,100.00%;KL63_02_cpsACP,100.00%,100.00%;KL63_03_wzi,100.00%,100.00%;KL63_04_wza,100.00%,100.00%;KL63_05_wzb,100.00%,100.00%;KL63_06_wzc,99.86%,100.00%;KL63_07_wbaP,100.00%,100.00%;KL63_08_wcsD,100.00%,100.00%;KL63_09_wzx,99.73%,90.17%,partial;KL63_09_wzx,100.00%,6.63%,partial;KL63_10_wzy,100.00%,100.00%;KL63_11_wcsE,100.00%,100.00%;KL63_12_gmd,100.00%,100.00%;KL63_13_wcaG,100.00%,100.00%;KL63_14,100.00%,100.00%;KL63_15_wcaI,100.00%,100.00%;KL63_16,100.00%,100.00%;KL63_17_gnd,99.79%,100.00%;KL63_18_manC,98.30%,100.00%;KL63_19_manB,99.12%,100.00%;KL63_20_ugd,98.97%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,98.38%,100.00%;KL40_04,99.00%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,98.20%,100.00%		
HCV1_26	KL25	K25	Typeable	!	99.65%	100.01%	3 bp	14 / 14 (100.00%)	KL25_01_galF,100.00%,100.00%;KL25_02_cpsACP,98.56%,100.00%;KL25_03_wzi,99.79%,100.00%;KL25_04_wza,100.00%,100.00%;KL25_05_wzb,100.00%,100.00%;KL25_06_wzc,100.00%,100.00%;KL25_07_wcaJ,100.00%,100.00%;KL25_08_wzy,100.00%,100.00%;KL25_09_wfeD,97.26%,59.25%,truncated;KL25_10,100.00%,100.00%;KL25_11_wcuB,99.68%,100.00%;KL25_12_wzx,100.00%,100.00%;KL25_13_gnd,99.79%,100.00%;KL25_14_ugd,100.00%,100.00%		0		0 / 14 (0.00%)		3	KL39_18_manC,99.79%,100.00%;KL30_19_manB,99.56%,98.08%;KL150_19_gmd,99.40%,100.00%	KL25_09_wfeD,97.26%,59.25%,truncated	
HCV1_27	KL14	K14	Typeable	?2-+	99.85%	94.67%	n/a	16 / 25 (64.00%)	KL14_01_galF,99.66%,100.00%;KL14_02_cpsACP,100.00%,100.00%;KL14_03_wzi,100.00%,100.00%;KL14_04_wza,100.00%,100.00%;KL14_05_wzb,100.00%,100.00%;KL14_06_wzc,100.00%,100.00%;KL14_07,99.71%,100.00%;KL14_08_wzx,100.00%,100.00%;KL14_09,99.66%,100.00%;KL14_10,99.69%,100.00%;KL14_11,100.00%,100.00%;KL14_12,100.00%,100.00%;KL14_13,99.41%,100.00%;KL14_14,99.63%,100.00%;KL14_15,99.73%,100.00%;KL14_16,99.71%,100.00%;KL14_17_wcaJ,100.00%,100.00%;KL14_19_manC,100.00%,100.00%;KL14_20_manB,99.78%,95.73%;KL14_21_rmlB,100.00%,100.00%;KL14_22_rmlA,100.00%,100.00%;KL14_23_rmlD,100.00%,100.00%;KL14_24_rmlC,100.00%,100.00%;KL14_25_ugd,99.48%,100.00%	KL14_18_gnd	1	KL150_19_gmd,99.70%,100.00%	0 / 25 (0.00%)		1	KL50_10,99.43%,100.00%		
HCV1_33	KL20	K20	Typeable		99.97%	100.00%	0 bp	17 / 18 (94.44%)	KL20_01_galF,100.00%,100.00%;KL20_02_cpsACP,100.00%,100.00%;KL20_03_wzi,100.00%,100.00%;KL20_04_wza,100.00%,100.00%;KL20_05_wzb,100.00%,100.00%;KL20_06_wzc,100.00%,100.00%;KL20_07_wbaP,100.00%,100.00%;KL20_08_wzy,99.76%,100.00%;KL20_09,100.00%,100.00%;KL20_10_wcaN,100.00%,100.00%;KL20_11_wcaO,100.00%,100.00%;KL20_12,100.00%,100.00%;KL20_13_wbaZ,100.00%,100.00%;KL20_14_wzx,99.76%,100.00%;KL20_15_gnd,100.00%,100.00%;KL20_16_manC,100.00%,100.00%;KL20_17_manB,100.00%,100.00%;KL20_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.15%,99.74%;KL150_19_gmd,98.80%,100.00%		
HCV1_35	KL27	K27	Typeable		100.00%	100.00%	0 bp	18 / 18 (100.00%)	KL27_01_galF,100.00%,100.00%;KL27_02_cpsACP,100.00%,100.00%;KL27_03_wzi,100.00%,100.00%;KL27_04_wza,100.00%,100.00%;KL27_05_wzb,100.00%,100.00%;KL27_06_wzc,100.00%,100.00%;KL27_07_wcaJ,100.00%,100.00%;KL27_08_wckI,100.00%,100.00%;KL27_09_wckS,100.00%,100.00%;KL27_10_wckR,100.00%,100.00%;KL27_11_wzy,100.00%,100.00%;KL27_12_wzx,100.00%,100.00%;KL27_13_wckQ,100.00%,100.00%;KL27_14_wcuJ,100.00%,100.00%;KL27_15_wctE,100.00%,100.00%;KL27_16_wctF,100.00%,100.00%;KL27_17_gnd,100.00%,100.00%;KL27_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,99.40%,100.00%		
HCV1_36	KL2	K2	Typeable		99.51%	100.00%	1 bp	13 / 18 (72.22%)	KL2_01_galF,98.99%,100.00%;KL2_02_cpsACP,98.56%,100.00%;KL2_03_wzi,98.61%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.86%,100.00%;KL2_07,99.72%,100.00%;KL2_08,100.00%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,99.38%,100.00%;KL2_12,99.31%,100.00%;KL2_13,99.10%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,98.93%,100.00%;KL2_16_manC,99.36%,100.00%;KL2_17_manB,99.78%,100.00%;KL2_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		4	KL40_03_wcpO,98.17%,99.80%;KL40_04,99.75%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,98.20%,100.00%		
HCV1_42	KL62	K62	Typeable	?3	99.65%	100.02%	n/a	14 / 19 (73.68%)	KL62_01_galF,100.00%,100.00%;KL62_02_cpsACP,97.61%,100.00%;KL62_03_wzi,99.80%,100.00%;KL62_04_wza,100.00%,100.00%;KL62_05_wzb,100.00%,100.00%;KL62_06_wzc,99.72%,100.00%;KL62_07_wbaP,99.79%,100.00%;KL62_08,99.48%,100.00%;KL62_09,99.42%,100.00%;KL62_10,100.00%,100.00%;KL62_11_wzy,99.48%,100.00%;KL62_12,100.00%,8.57%,partial;KL62_12,100.00%,9.84%,partial;KL62_13,99.16%,100.00%;KL62_14,99.74%,100.00%;KL62_15_wzx,100.00%,100.00%;KL62_16_gnd,100.00%,100.00%;KL62_17_manC,99.79%,100.00%;KL62_18_manB,99.56%,100.00%;KL62_19_ugd,99.48%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,100.00%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,100.00%,100.00%		
HGUA4_08	KL25	K25	Typeable	!	99.70%	100.01%	4 bp	14 / 14 (100.00%)	KL25_01_galF,100.00%,100.00%;KL25_02_cpsACP,100.00%,100.00%;KL25_03_wzi,100.00%,100.00%;KL25_04_wza,100.00%,100.00%;KL25_05_wzb,100.00%,100.00%;KL25_06_wzc,100.00%,100.00%;KL25_07_wcaJ,99.78%,100.00%;KL25_08_wzy,99.74%,100.00%;KL25_09_wfeD,97.26%,59.25%,truncated;KL25_10,100.00%,100.00%;KL25_11_wcuB,99.68%,100.00%;KL25_12_wzx,100.00%,100.00%;KL25_13_gnd,99.57%,100.00%;KL25_14_ugd,99.74%,100.00%		0		0 / 14 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.40%,100.00%	KL25_09_wfeD,97.26%,59.25%,truncated	
HGUA4_09	KL139	unknown (KL139)	Typeable		99.47%	100.00%	-1 bp	19 / 19 (100.00%)	KL139_01_galF,98.99%,100.00%;KL139_02_cpsACP,98.09%,100.00%;KL139_03_wzi,96.23%,100.00%;KL139_04_wza,100.00%,100.00%;KL139_05_wzb,100.00%,100.00%;KL139_06_wzc,99.86%,100.00%;KL139_07_wzy,100.00%,100.00%;KL139_08_wcuH,100.00%,100.00%;KL139_09_wctD,99.63%,100.00%;KL139_10_wcuC,99.70%,100.00%;KL139_11_wcuJ,99.41%,100.00%;KL139_12_wcsF,100.00%,100.00%;KL139_13_wzxC,99.80%,100.00%;KL139_14_wbaZ,99.75%,100.00%;KL139_15_wcaJ,100.00%,100.00%;KL139_16_gnd,99.79%,100.00%;KL139_17_manC,99.58%,100.00%;KL139_18_manB,99.34%,100.00%;KL139_19_ugd,99.74%,100.00%		0		2 / 19 (10.53%)	KL139_17_manC,99.79%,100.00%;KL139_18_manB,99.11%,98.25%	2	KL50_10,99.81%,100.00%;KL150_19_gmd,99.70%,100.00%		
HGUA4_15	KL14	K14	Typeable		99.88%	100.00%	0 bp	17 / 25 (68.00%)	KL14_01_galF,100.00%,100.00%;KL14_02_cpsACP,99.04%,100.00%;KL14_03_wzi,100.00%,100.00%;KL14_04_wza,100.00%,100.00%;KL14_05_wzb,100.00%,100.00%;KL14_06_wzc,100.00%,100.00%;KL14_07,100.00%,100.00%;KL14_08_wzx,100.00%,100.00%;KL14_09,99.66%,100.00%;KL14_10,99.39%,100.00%;KL14_11,100.00%,100.00%;KL14_12,100.00%,100.00%;KL14_13,100.00%,100.00%;KL14_14,100.00%,100.00%;KL14_15,100.00%,100.00%;KL14_16,99.71%,100.00%;KL14_17_wcaJ,99.78%,100.00%;KL14_18_gnd,100.00%,100.00%;KL14_19_manC,99.79%,100.00%;KL14_20_manB,100.00%,100.00%;KL14_21_rmlB,100.00%,100.00%;KL14_22_rmlA,100.00%,100.00%;KL14_23_rmlD,100.00%,100.00%;KL14_24_rmlC,100.00%,100.00%;KL14_25_ugd,99.74%,100.00%		0		2 / 25 (8.00%)	KL14_19_manC,99.79%,100.00%;KL14_20_manB,100.00%,95.73%	1	KL150_19_gmd,99.70%,100.00%		
HGUA4_51	KL24	K24	Typeable	!	99.87%	100.00%	0 bp	19 / 19 (100.00%)	KL24_01_galF,99.66%,100.00%;KL24_02_cpsACP,99.04%,100.00%;KL24_03_wzi,100.00%,100.00%;KL24_04_wza,100.00%,100.00%;KL24_05_wzb,100.00%,100.00%;KL24_06_wzc,100.00%,100.00%;KL24_07_wcuD,100.00%,100.00%;KL24_08_wcuC,100.00%,100.00%;KL24_09_wcuV,99.76%,100.00%;KL24_10_wbaZ,100.00%,100.00%;KL24_11_wcaJ,100.00%,100.00%;KL24_12_wcuE,99.70%,100.00%;KL24_13_wcuG,100.00%,32.14%,truncated;KL24_14_wzy,99.70%,100.00%;KL24_15_wzx,100.00%,100.00%;KL24_16_gnd,99.57%,100.00%;KL24_17_manC,100.00%,100.00%;KL24_18_manB,100.00%,100.00%;KL24_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.68%,99.74%;KL150_19_gmd,99.70%,100.00%	KL24_13_wcuG,100.00%,32.14%,truncated	
HGUC2_04	KL125	unknown (KL125)	Typeable	?2-	95.09%	70.10%	n/a	12 / 18 (66.67%)	KL125_01_galF,98.66%,100.00%;KL125_02_cpsACP,96.65%,100.00%;KL125_03_wzi,98.33%,100.00%;KL125_04_wza,98.94%,100.00%;KL125_05_wzb,94.41%,100.00%;KL125_06_wzc,96.23%,100.00%;KL125_07_wbaP,93.05%,100.00%;KL125_08_wcaN,90.59%,100.00%;KL125_09_wzy,97.56%,9.72%,partial;KL125_15,88.38%,75.09%,partial;KL125_16,85.99%,99.81%;KL125_17_gnd,97.65%,100.00%;KL125_18_ugd,99.74%,100.00%	KL125_10;KL125_11;KL125_12_wcaG;KL125_14_wzx;KL125_13_wcuH	0		0 / 18 (0.00%)		3	KL112_16_manC,100.00%,100.00%;KL49_18_manB,99.56%,98.08%;KL150_19_gmd,99.10%,100.00%		
HGUC2_09	KL114	unknown (KL114)	Typeable	?2-	99.72%	67.49%	n/a	13 / 19 (68.42%)	KL114_01_galF,100.00%,100.00%;KL114_02_cpsACP,100.00%,100.00%;KL114_03_wzi,97.32%,100.00%;KL114_04_wza,100.00%,100.00%;KL114_05_wzb,100.00%,100.00%;KL114_06_wzc,100.00%,100.00%;KL114_07_wbaP,99.58%,100.00%;KL114_14_wbaZ,100.00%,100.00%;KL114_15,100.00%,100.00%;KL114_16_gnd,100.00%,100.00%;KL114_17_manC,99.79%,100.00%;KL114_18_manB,100.00%,100.00%;KL114_19_ugd,99.74%,100.00%	KL114_13;KL114_12_wcuQ;KL114_10_wzx;KL114_11_wcqZ;KL114_09_wciP;KL114_08_wzy	0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.10%,100.00%		
HGV2_297	KL3	K3	Typeable	!	99.43%	99.99%	-2 bp	15 / 19 (78.95%)	KL3_01_galF,94.44%,18.79%,truncated;KL3_02_cpsACP,97.13%,90.87%,truncated;KL3_03_wzi,99.79%,100.00%;KL3_04_wza,100.00%,100.00%;KL3_05_wzb,100.00%,100.00%;KL3_06_wzc,99.86%,100.00%;KL3_07_wcaJ,100.00%,100.00%;KL3_08,100.00%,100.00%;KL3_09,99.70%,100.00%;KL3_10_pglJ,100.00%,100.00%;KL3_11,100.00%,100.00%;KL3_12,99.48%,100.00%;KL3_13_wzx,100.00%,100.00%;KL3_14,99.75%,100.00%;KL3_15_wbaZ,100.00%,100.00%;KL3_16_gnd,100.00%,100.00%;KL3_17_manC,99.79%,100.00%;KL3_18_manB,99.56%,100.00%;KL3_19_ugd,99.74%,100.00%		0		0 / 19 (0.00%)		6	KL40_03_wcpO,99.59%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,100.00%,60.18%,partial;KL150_19_gmd,94.74%,22.75%,partial;KL150_19_gmd,100.00%,16.77%,partial	KL3_01_galF,94.44%,18.79%,truncated;KL3_02_cpsACP,97.13%,90.87%,truncated	
HGV2_332	KL13	K13	Typeable	?9	97.13%	102.08%	n/a	19 / 19 (100.00%)	KL13_01_galF,99.67%,100.00%;KL13_02_cpsACP,97.27%,100.00%;KL13_03_wzi,99.80%,100.00%;KL13_04_wza,100.00%,100.00%;KL13_05_wzb,100.00%,100.00%;KL13_06_wzc,100.00%,100.00%;KL13_07_wcuD,100.00%,100.00%;KL13_08_wclX,99.48%,100.00%;KL13_09_wzy,100.00%,100.00%;KL13_10_wcuF,100.00%,100.00%;KL13_11_wzx,99.59%,100.00%;KL13_12_wcuL,99.68%,100.00%;KL13_13_wcoW,98.78%,100.00%;KL13_14,98.60%,100.00%;KL13_15_wcaJ,99.78%,100.00%;KL13_16_gnd,100.00%,100.00%;KL13_17_manC,99.68%,66.45%,partial;KL13_17_manC,98.94%,19.96%,partial;KL13_17_manC,39.29%,19.75%,partial,below_id_threshold;KL13_17_manC,100.00%,12.10%,partial;KL13_18_manB,100.00%,47.65%,partial;KL13_18_manB,100.00%,31.20%,partial;KL13_18_manB,98.84%,18.38%,partial;KL13_18_manB,98.85%,18.59%,partial;KL13_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL50_10,99.43%,100.00%;KL150_19_gmd,99.70%,100.00%		
HGV2_341	KL13	K13	Typeable		99.58%	100.00%	-2 bp	19 / 19 (100.00%)	KL13_01_galF,99.67%,100.00%;KL13_02_cpsACP,97.27%,100.00%;KL13_03_wzi,99.80%,100.00%;KL13_04_wza,100.00%,100.00%;KL13_05_wzb,100.00%,100.00%;KL13_06_wzc,100.00%,100.00%;KL13_07_wcuD,100.00%,100.00%;KL13_08_wclX,99.48%,100.00%;KL13_09_wzy,100.00%,100.00%;KL13_10_wcuF,100.00%,100.00%;KL13_11_wzx,99.59%,100.00%;KL13_12_wcuL,99.68%,100.00%;KL13_13_wcoW,98.78%,100.00%;KL13_14,98.60%,100.00%;KL13_15_wcaJ,99.78%,100.00%;KL13_16_gnd,100.00%,100.00%;KL13_17_manC,99.58%,100.00%;KL13_18_manB,99.79%,100.00%;KL13_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL50_10,99.43%,100.00%;KL150_19_gmd,99.70%,100.00%		
HGV2_370	KL13	K13	Typeable	?9	97.13%	102.08%	n/a	19 / 19 (100.00%)	KL13_01_galF,99.67%,100.00%;KL13_02_cpsACP,97.27%,100.00%;KL13_03_wzi,99.80%,100.00%;KL13_04_wza,100.00%,100.00%;KL13_05_wzb,100.00%,100.00%;KL13_06_wzc,100.00%,100.00%;KL13_07_wcuD,100.00%,100.00%;KL13_08_wclX,99.48%,100.00%;KL13_09_wzy,100.00%,100.00%;KL13_10_wcuF,100.00%,100.00%;KL13_11_wzx,99.59%,100.00%;KL13_12_wcuL,99.68%,100.00%;KL13_13_wcoW,98.78%,100.00%;KL13_14,98.60%,100.00%;KL13_15_wcaJ,99.78%,100.00%;KL13_16_gnd,100.00%,100.00%;KL13_17_manC,99.68%,66.45%,partial;KL13_17_manC,98.94%,19.96%,partial;KL13_17_manC,39.29%,19.75%,partial,below_id_threshold;KL13_17_manC,100.00%,12.10%,partial;KL13_18_manB,100.00%,47.65%,partial;KL13_18_manB,100.00%,31.20%,partial;KL13_18_manB,98.84%,18.38%,partial;KL13_18_manB,98.85%,18.59%,partial;KL13_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL50_10,99.43%,100.00%;KL150_19_gmd,99.70%,100.00%		
HGV2_371	KL16	K16	Typeable		99.74%	100.00%	0 bp	21 / 22 (95.45%)	KL16_01_galF,99.66%,100.00%;KL16_02_cpsACP,97.61%,100.00%;KL16_03_wzi,100.00%,100.00%;KL16_04_wza,100.00%,100.00%;KL16_05_wzb,100.00%,100.00%;KL16_06_wzc,100.00%,100.00%;KL16_07_wzx,100.00%,100.00%;KL16_08_wzy,100.00%,100.00%;KL16_09_gtf1,99.73%,100.00%;KL16_10_vatD,99.45%,100.00%;KL16_11_lacA,100.00%,100.00%;KL16_12_sunS,100.00%,100.00%;KL16_13_gmd,100.00%,100.00%;KL16_14_fcl,100.00%,100.00%;KL16_15_gmm,100.00%,100.00%;KL16_16,100.00%,100.00%;KL16_17_wcaJ,100.00%,100.00%;KL16_18_gnd,100.00%,100.00%;KL16_19,99.37%,100.00%;KL16_20_manC,99.15%,100.00%;KL16_21_manB,99.56%,100.00%;KL16_22_ugd,99.74%,100.00%		0		0 / 22 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.70%,100.00%		
HGV2_379	KL17	K17	Typeable		99.99%	100.00%	0 bp	20 / 20 (100.00%)	KL17_01_galF,100.00%,100.00%;KL17_02_cpsACP,100.00%,100.00%;KL17_03_wzi,100.00%,100.00%;KL17_04_wza,100.00%,100.00%;KL17_05_wzb,100.00%,100.00%;KL17_06_wzc,99.86%,100.00%;KL17_07_wzy,100.00%,100.00%;KL17_08_wctR,100.00%,100.00%;KL17_09_wctS,100.00%,100.00%;KL17_10_wctT,100.00%,100.00%;KL17_11_wctU,100.00%,100.00%;KL17_12_wcaJ,100.00%,100.00%;KL17_13_wcmZ,100.00%,100.00%;KL17_14_wzx,100.00%,100.00%;KL17_15_gnd,100.00%,100.00%;KL17_16_rmlB,100.00%,100.00%;KL17_17_rmlA,100.00%,100.00%;KL17_18_rmlD,100.00%,100.00%;KL17_19_rmlC,100.00%,100.00%;KL17_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.67%,99.21%;KL150_19_gmd,99.10%,100.00%		
HGV2_398	KL27	K27	Typeable		99.99%	100.00%	0 bp	18 / 18 (100.00%)	KL27_01_galF,100.00%,100.00%;KL27_02_cpsACP,100.00%,100.00%;KL27_03_wzi,100.00%,100.00%;KL27_04_wza,100.00%,100.00%;KL27_05_wzb,100.00%,100.00%;KL27_06_wzc,99.86%,100.00%;KL27_07_wcaJ,100.00%,100.00%;KL27_08_wckI,100.00%,100.00%;KL27_09_wckS,100.00%,100.00%;KL27_10_wckR,100.00%,100.00%;KL27_11_wzy,100.00%,100.00%;KL27_12_wzx,100.00%,100.00%;KL27_13_wckQ,100.00%,100.00%;KL27_14_wcuJ,100.00%,100.00%;KL27_15_wctE,100.00%,100.00%;KL27_16_wctF,100.00%,100.00%;KL27_17_gnd,100.00%,100.00%;KL27_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,99.00%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,99.40%,100.00%		
HGV2_400	KL13	K13	Typeable	?9	97.13%	102.08%	n/a	19 / 19 (100.00%)	KL13_01_galF,99.67%,100.00%;KL13_02_cpsACP,97.27%,100.00%;KL13_03_wzi,99.80%,100.00%;KL13_04_wza,100.00%,100.00%;KL13_05_wzb,100.00%,100.00%;KL13_06_wzc,100.00%,100.00%;KL13_07_wcuD,100.00%,100.00%;KL13_08_wclX,99.48%,100.00%;KL13_09_wzy,100.00%,100.00%;KL13_10_wcuF,100.00%,100.00%;KL13_11_wzx,99.59%,100.00%;KL13_12_wcuL,99.68%,100.00%;KL13_13_wcoW,98.78%,100.00%;KL13_14,98.60%,100.00%;KL13_15_wcaJ,99.78%,100.00%;KL13_16_gnd,100.00%,100.00%;KL13_17_manC,99.68%,66.45%,partial;KL13_17_manC,98.94%,19.96%,partial;KL13_17_manC,39.29%,19.75%,partial,below_id_threshold;KL13_17_manC,100.00%,12.10%,partial;KL13_18_manB,100.00%,47.65%,partial;KL13_18_manB,100.00%,31.20%,partial;KL13_18_manB,98.84%,18.38%,partial;KL13_18_manB,98.85%,18.59%,partial;KL13_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL50_10,99.43%,100.00%;KL150_19_gmd,99.70%,100.00%		
HGV2_418	KL102	unknown (KL102)	Typeable		99.66%	100.00%	-1 bp	12 / 17 (70.59%)	KL102_01_galF,98.99%,100.00%;KL102_02_cpsACP,99.04%,100.00%;KL102_03_wzi,100.00%,100.00%;KL102_04_wza,100.00%,100.00%;KL102_05_wzb,100.00%,100.00%;KL102_06_wzc,99.72%,100.00%;KL102_07_wbaP,99.36%,100.00%;KL102_08_wzy,99.54%,100.00%;KL102_09,99.31%,100.00%;KL102_10,99.64%,100.00%;KL102_11,99.43%,100.00%;KL102_12,99.72%,100.00%;KL102_13,100.00%,100.00%;KL102_14,100.00%,100.00%;KL102_15_wzx,100.00%,100.00%;KL102_16_gnd,100.00%,100.00%;KL102_17_ugd,99.48%,100.00%		0		0 / 17 (0.00%)		1	KL150_19_gmd,98.50%,100.00%		
HGV2_429	KL136	unknown (KL136)	Typeable	?2-!	99.97%	45.78%	n/a	10 / 19 (52.63%)	KL136_01_galF,100.00%,100.00%;KL136_02_cpsACP,100.00%,100.00%;KL136_03_wzi,100.00%,100.00%;KL136_04_wza,100.00%,100.00%;KL136_05_wzb,100.00%,100.00%;KL136_06_wzc,100.00%,100.00%;KL136_07_wzy,100.00%,21.98%,partial;KL136_17_wcoX,100.00%,75.25%,truncated;KL136_18_gnd,100.00%,100.00%;KL136_19_ugd,99.74%,100.00%	KL136_15_wzx;KL136_14;KL136_11_wbaZ;KL136_10_manB;KL136_12_wcaJ;KL136_13_wcuC;KL136_16_wcuI;KL136_08_wcuO;KL136_09_manC	0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,99.40%,100.00%	KL136_17_wcoX,100.00%,75.25%,truncated	
HGV2_430	KL103	unknown (KL103)	Typeable	?5+	98.87%	102.88%	n/a	20 / 21 (95.24%)	KL103_01_galF,99.66%,100.00%;KL103_02_cpsACP,93.78%,100.00%;KL103_03_wzi,97.27%,100.00%;KL103_04_wza,99.74%,100.00%;KL103_05_wzb,100.00%,100.00%;KL103_06_wzc,99.86%,100.00%;KL103_07_wbaP,99.58%,100.00%;KL103_08_wcaA,99.01%,100.00%;KL103_09,97.46%,100.00%;KL103_10,99.57%,100.00%;KL103_11_wcaN,98.98%,100.00%;KL103_12_wzy,99.02%,100.00%;KL103_13_wcpL,98.93%,100.00%;KL103_14_wcuT,98.91%,100.00%;KL103_15_wzx,98.95%,100.00%;KL103_16_gnd,99.36%,100.00%;KL103_17_rmlB,99.28%,78.25%,partial;KL103_17_rmlB,100.00%,21.47%,partial;KL103_17_rmlB,100.00%,21.47%,partial;KL103_18_rmlA,100.00%,51.90%,partial;KL103_18_rmlA,99.33%,51.56%,partial;KL103_18_rmlA,96.30%,46.71%,partial;KL103_19_rmlD,98.99%,100.00%;KL103_20_rmlC,98.26%,62.50%,partial;KL103_20_rmlC,98.53%,36.96%,partial;KL103_21_ugd,99.74%,100.00%		1	KL150_19_gmd,99.10%,100.00%	1 / 21 (4.76%)	KL103_20_rmlC,98.46%,35.33%,partial	0			
HGV2_431	KL27	K27	Typeable		99.79%	100.00%	-1 bp	18 / 18 (100.00%)	KL27_01_galF,99.66%,100.00%;KL27_02_cpsACP,100.00%,100.00%;KL27_03_wzi,99.58%,100.00%;KL27_04_wza,100.00%,100.00%;KL27_05_wzb,100.00%,100.00%;KL27_06_wzc,100.00%,100.00%;KL27_07_wcaJ,100.00%,100.00%;KL27_08_wckI,100.00%,100.00%;KL27_09_wckS,99.60%,100.00%;KL27_10_wckR,99.71%,100.00%;KL27_11_wzy,99.76%,100.00%;KL27_12_wzx,100.00%,100.00%;KL27_13_wckQ,99.62%,100.00%;KL27_14_wcuJ,99.70%,100.00%;KL27_15_wctE,99.67%,100.00%;KL27_16_wctF,99.39%,100.00%;KL27_17_gnd,100.00%,100.00%;KL27_18_ugd,99.48%,100.00%		0		0 / 18 (0.00%)		1	KL150_19_gmd,88.92%,100.00%		
